"","PID","home.size","lot.size","rooms","bathrooms","utilities","year.built","overall.condition","brick","price"
"20",20,1750,0.5,7,2,259,1974,6,"Yes",166000
"74",74,1600,1.84,7,2,212,2009,4,"No",180000
"32",32,1248,0.25,7,1,264,1975,2,"Yes",148500
"120",120,2288,1.2,8,2.5,247,2002,6,"No",238000
"5",5,1950,0.75,8,2.5,217,1998,5,"No",171900
"133",133,1624,1.8,7,1.5,201,1958,5,"No",143500
"12",12,1403,0.5,6,2,209,2007,4,"Yes",170000
"100",100,3000,1.15,10,3.5,275,2001,7,"Yes",250000
"89",89,1564,0.33,6,2,255,2000,5,"No",180000
"36",36,1745,0.58,7,2.5,249,2010,5,"No",220000
"147",147,1300,0.29,6,1,245,1984,3,"No",147500
